Iteration,Global_Best_Fitness,Average_Fitness,Selected_Features,Inertia_Weight
1,0.9874999999999999,0.9581666666666665,1,0.9
2,0.9874999999999999,0.9599583333333332,1,0.8827586206896552
3,0.9874999999999999,0.9520000000000002,1,0.8655172413793104
4,0.9874999999999999,0.9742916666666669,1,0.8482758620689655
5,0.9874999999999999,0.9723333333333335,1,0.8310344827586207
6,0.9874999999999999,0.975125,1,0.8137931034482759
7,0.9874999999999999,0.9699583333333333,1,0.7965517241379311
8,0.9874999999999999,0.969125,1,0.7793103448275862
9,0.9874999999999999,0.9740000000000001,1,0.7620689655172415
10,0.9874999999999999,0.973875,1,0.7448275862068966
11,0.9874999999999999,0.9674583333333333,1,0.7275862068965517
12,0.9874999999999999,0.9747083333333334,1,0.710344827586207
13,0.9874999999999999,0.9747083333333335,1,0.6931034482758621
14,0.9874999999999999,0.9710833333333334,1,0.6758620689655173
15,0.9874999999999999,0.97875,1,0.6586206896551724
16,0.9874999999999999,0.9577083333333332,1,0.6413793103448275
17,0.9874999999999999,0.9621666666666668,1,0.6241379310344828
18,0.9874999999999999,0.9747083333333333,1,0.606896551724138
19,0.9874999999999999,0.9727499999999999,1,0.5896551724137931
20,0.9874999999999999,0.9677500000000001,1,0.5724137931034483
21,0.9874999999999999,0.9649583333333334,1,0.5551724137931034
22,0.9874999999999999,0.975125,1,0.5379310344827586
23,0.9874999999999999,0.9673333333333333,1,0.5206896551724138
24,0.9874999999999999,0.9656666666666667,1,0.503448275862069
25,0.9874999999999999,0.9715,1,0.48620689655172417
26,0.9874999999999999,0.9649583333333334,1,0.46896551724137936
27,0.9874999999999999,0.9673333333333335,1,0.4517241379310345
28,0.9874999999999999,0.9660833333333334,1,0.4344827586206897
29,0.9874999999999999,0.9719166666666668,1,0.41724137931034483
30,0.9874999999999999,0.9602083333333334,1,0.4
