Model,Accuracy,Precision,Recall,F1_Score
PSO + Random Forest,100.0,100.0,100.0,100.0
PSO + Decision Tree,100.0,100.0,100.0,100.0
PSO + Logistic Regression,100.0,100.0,100.0,100.0
PSO + Neural Network,90.0,81.0,90.0,85.26315789473684
PSO + KNN,90.0,81.0,90.0,85.26315789473684
