Generation,Best_Fitness,Average_Fitness,Selected_Features
1,0.9874999999999999,0.9594166666666666,1
2,0.9874999999999999,0.9747083333333334,1
3,0.9874999999999999,0.9845833333333335,1
4,0.9874999999999999,0.9862500000000002,1
5,0.9874999999999999,0.9829166666666665,1
6,0.9874999999999999,0.9805416666666668,1
7,0.9874999999999999,0.9841666666666667,1
8,0.9874999999999999,0.9822083333333336,1
9,0.9874999999999999,0.9854166666666667,1
10,0.9874999999999999,0.9850000000000001,1
11,0.9874999999999999,0.9822083333333336,1
12,0.9874999999999999,0.9805416666666668,1
13,0.9874999999999999,0.9858333333333336,1
14,0.9874999999999999,0.9817916666666666,1
15,0.9874999999999999,0.9809583333333335,1
16,0.9874999999999999,0.9833333333333332,1
17,0.9874999999999999,0.9805416666666666,1
18,0.9874999999999999,0.9769166666666667,1
19,0.9874999999999999,0.9809583333333334,1
20,0.9874999999999999,0.98375,1
21,0.9874999999999999,0.9837499999999999,1
22,0.9874999999999999,0.981375,1
23,0.9874999999999999,0.9845833333333334,1
24,0.9874999999999999,0.9829166666666664,1
25,0.9874999999999999,0.9841666666666666,1
26,0.9874999999999999,0.9792916666666666,1
27,0.9874999999999999,0.9837500000000001,1
28,0.9874999999999999,0.9837499999999999,1
29,0.9874999999999999,0.9854166666666668,1
30,0.9874999999999999,0.9817916666666667,1
